Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	RefSeq	KEGG	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q7V1H8	Q7V1H8_PROMP	"Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]"	ribA ribB ribBA PMM0893	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	577	PMM0893	"PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 2-hydroxy-3-oxobutyl phosphate from D-ribulose 5-phosphate: step 1/1. {ECO:0000256|ARBA:ARBA00004904, ECO:0000256|HAMAP-Rule:MF_01283}.; PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 5-amino-6-(D-ribitylamino)uracil from GTP: step 1/4. {ECO:0000256|ARBA:ARBA00004853, ECO:0000256|HAMAP-Rule:MF_01283}."	WP_011132526.1	pmm:PMM0893;	riboflavin biosynthetic process [GO:0009231]	"3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; zinc ion binding [GO:0008270]"	
Q7V1L1	Q7V1L1_PROMP	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH4 ftsH PMM0854	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	584	PMM0854		WP_011132488.1	pmm:PMM0854;	cell division [GO:0051301]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V274	GLMU_PROMP	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU PMM0611	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	449	PMM0611	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01631}.	WP_011132245.1	pmm:PMM0611;	cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; structural constituent of carboxysome shell [GO:0043886]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]	carboxysome [GO:0031470]; cytoplasm [GO:0005737]
Q7V2D0	RBL_PROMP	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL PMM0550	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	471	PMM0550		WP_002805854.1	pmm:PMM0550;	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	carboxysome [GO:0031470]
Q7V2Q8	MURE_PROMP	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"	murE PMM0413	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	511	PMM0413	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00208}.	WP_011132049.1	pmm:PMM0413;	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	"ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]"	cytoplasm [GO:0005737]
Q7V316	IXTPA_PROMP	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	PMM0279	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	191	PMM0279		WP_011131916.1	pmm:PMM0279;	nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]	
Q7V359	Q7V359_PROMP	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	dfp (coaBC) coaBC PMM0229	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	418	PMM0229	"PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|HAMAP-Rule:MF_02225, ECO:0000256|RuleBase:RU364078}."	WP_011131868.1	pmm:PMM0229;	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]	
Q7V362	Q7V362_PROMP	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH2 ftsH PMM0226	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	618	PMM0226		WP_011131865.1	pmm:PMM0226;	cell division [GO:0051301]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V365	PSBA_PROMP	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA PMM0223	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	360	PMM0223		WP_011131862.1	pmm:PMM0223;	photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	"chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]"	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]
O07295	PCBA_PROMP	Divinyl chlorophyll a/b light-harvesting protein PcbA	pcbA pcb PMM0627	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	352	PMM0627		WP_011132261.1	pmm:PMM0627;	photosynthetic electron transport chain [GO:0009767]	chlorophyll binding [GO:0016168]	photosystem I [GO:0009522]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q7TTQ1	MNMA_PROMP	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA PMM1291	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	390	PMM1291		WP_011132925.1	pmm:PMM1291;	tRNA modification [GO:0006400]	ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]
Q7TU15	Q7TU15_PROMP	Threonine synthase (EC 4.2.3.1)	thrC PMM1716	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	367	PMM1716	"PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 5/5. {ECO:0000256|ARBA:ARBA00004979, ECO:0000256|PIRNR:PIRNR038945}."	WP_011133343.1	pmm:PMM1716;	threonine biosynthetic process [GO:0009088]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]; transferase activity [GO:0016740]	
Q7TU17	Q7TU17_PROMP	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk PMM1696	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	695	PMM1696		WP_011133323.1	pmm:PMM1696;	phosphorylation [GO:0016310]; polyphosphate biosynthetic process [GO:0006799]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	polyphosphate kinase complex [GO:0009358]
Q7TU25	MIAA_PROMP	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA PMM1635	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	299	PMM1635		WP_011133262.1	pmm:PMM1635;	tRNA processing [GO:0008033]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]	
Q7TU31	TRUA_PROMP	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA PMM1533	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	268	PMM1533		WP_011133161.1	pmm:PMM1533;	tRNA pseudouridine synthesis [GO:0031119]	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	
Q7TU32	Q7TU32_PROMP	Alanine racemase (EC 5.1.1.1)	alr PMM1527	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	395	PMM1527	PATHWAY: Amino-acid biosynthesis; D-alanine biosynthesis; D-alanine from L-alanine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01201}.	WP_011133155.1	pmm:PMM1527;	D-alanine biosynthetic process [GO:0030632]	alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]	
Q7TU39	Q7TU39_PROMP	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	BioD bioD PMM1471	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	220	PMM1471	"PATHWAY: Cofactor biosynthesis; biotin biosynthesis; biotin from 7,8-diaminononanoate: step 1/2. {ECO:0000256|HAMAP-Rule:MF_00336}."	WP_011133099.1	pmm:PMM1471;	biotin biosynthetic process [GO:0009102]	ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]
Q7TU40	Q7TU40_PROMP	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	purB PMM1465	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	431	PMM1465	"PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}."	WP_011133093.1	pmm:PMM1465;	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]	"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]"	
Q7TU44	CH602_PROMP	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)	groEL2 groL2 PMM1436	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	544	PMM1436		WP_011133065.1	pmm:PMM1436;	protein refolding [GO:0042026]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]
Q7TU60	PANB_PROMP	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB PMM1310	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	257	PMM1310	PATHWAY: Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantoate from 3-methyl-2-oxobutanoate: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00156}.	WP_011132944.1	pmm:PMM1310;	pantothenate biosynthetic process [GO:0015940]	3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q7TU66	Q7TU66_PROMP	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD PMM1265	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	362	PMM1265	"PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 5-amino-6-(D-ribitylamino)uracil from GTP: step 2/4. {ECO:0000256|ARBA:ARBA00004882, ECO:0000256|PIRNR:PIRNR006769}.; PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 5-amino-6-(D-ribitylamino)uracil from GTP: step 3/4. {ECO:0000256|ARBA:ARBA00004910, ECO:0000256|PIRNR:PIRNR006769}."	WP_011132899.1	pmm:PMM1265;	riboflavin biosynthetic process [GO:0009231]	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]	
Q7TU75	TRMFO_PROMP	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	trmFO PMM1116	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	470	PMM1116		WP_011132749.1	pmm:PMM1116;		"5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity [GO:0030698]; flavin adenine dinucleotide binding [GO:0050660]; methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity [GO:0047151]"	cytoplasm [GO:0005737]
Q7TU81	FOLD_PROMP	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD PMM1069	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	298	PMM1069	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000255|HAMAP-Rule:MF_01576}.	WP_011132702.1	pmm:PMM1069;	histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	
Q7TU97	Q7TU97_PROMP	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	ilvE PMM0878	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	304	PMM0878	"PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 4/4. {ECO:0000256|ARBA:ARBA00004824, ECO:0000256|RuleBase:RU364094}.; PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 4/4. {ECO:0000256|ARBA:ARBA00005072, ECO:0000256|RuleBase:RU364094}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 4/4. {ECO:0000256|ARBA:ARBA00004931, ECO:0000256|RuleBase:RU364094}."	WP_011132511.1	pmm:PMM0878;	isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]	L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]	
Q7TUC4	Q7TUC4_PROMP	Glutamate racemase (EC 5.1.1.3)	murI PMM0617	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	264	PMM0617	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00258}.	WP_011132251.1	pmm:PMM0617;	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	glutamate racemase activity [GO:0008881]	
