gene_id	gene	product	protein_id	old_locus_tag	A1A_S7	A1B_S8	A1C_S9	A2A_S10	A2B_S11	A2C_S12	A3A_S13	A3B_S14	A3C_S15	C1A_S16	C1B_S17	C1C_S18	C2A_60ng_S19	C2B_100ng_S20	C2B_60ng_S21	C2C_100ng_S22	C2C_60ng_S23	C3A_100ng_S24	C3A_60ng_S25	C3B_60ng_S26	C3C_100ng_S27	C3C_60ng_S28	C4A_S29	C4B_S30	C4C_S31	C5A_S32	C5B_S33	C5C_S34	Mock_S35	P6A_S1	P6B_S2	P6C_S3	P7A_S4	P7B_S5	P7C_S6
ACZ81_RS00150		gamma carbonic anhydrase family protein	WP_014977871.1		648	503	149	161	636	1089	622	1025	1713	210	172	201	891	766	519	326	224	746	490	669	421	373	398	463	251	493	549	515	66	0	0	0	0	0	0
ACZ81_RS00155		UDP-N-acetylglucosamine 2-epimerase	WP_014977872.1		658	618	121	148	473	1043	339	833	1382	285	216	259	704	392	266	200	179	416	518	436	411	343	364	333	125	365	377	329	0	0	0	0	0	0	0
ACZ81_RS00180		acyloxyacyl hydrolase	WP_014975262.1		107	112	143	17	65	134	129	129	85	131	75	21	64	115	61	76	29	58	80	144	49	25	36	37	33	21	62	40	3	0	0	0	0	0	0
ACZ81_RS00185		hypothetical protein	WP_061438876.1		220	233	52	25	173	322	174	405	508	70	30	58	296	234	140	91	86	244	188	243	143	106	116	144	132	154	149	100	0	0	0	0	0	0	0
ACZ81_RS00190		hypothetical protein	WP_061438878.1		388	394	123	28	159	353	138	349	414	149	41	69	273	176	100	115	70	115	157	201	137	98	107	105	110	110	95	80	0	0	0	0	0	0	0
ACZ81_RS00195		error-prone DNA polymerase	WP_061438880.1		194	170	100	66	109	343	151	328	537	105	75	83	278	162	98	103	83	97	72	95	46	51	55	61	45	70	93	103	0	0	0	0	0	0	0
ACZ81_RS00200		DNA polymerase Y family protein	WP_061438881.1		156	257	60	47	195	534	258	447	935	153	110	150	459	104	98	138	101	51	54	55	48	21	56	38	50	82	72	102	0	0	0	0	0	0	0
ACZ81_RS00205		recombinase RecA	WP_061438884.1		333	571	97	87	351	840	822	669	1045	296	161	162	462	286	130	226	177	83	49	129	44	29	59	82	76	117	135	208	0	0	0	0	0	0	0
ACZ81_RS00210		hypothetical protein	WP_061438886.1		190	148	78	55	80	213	152	188	314	75	42	46	258	186	102	83	49	187	162	235	157	155	111	131	93	117	172	161	10	0	0	0	0	0	0
ACZ81_RS00215		DUF885 domain-containing protein	WP_061438888.1		661	814	216	137	540	1339	456	1147	1793	348	254	316	1155	879	513	278	215	1159	836	423	755	574	585	527	189	634	735	600	66	0	0	0	0	0	0
ACZ81_RS00220		DUF1820 family protein	WP_061438894.1		110	99	40	47	109	171	55	173	217	38	28	31	174	113	48	38	20	45	94	94	71	59	63	43	35	44	50	41	151	0	0	0	0	0	0
ACZ81_RS00225		M28 family metallopeptidase	WP_049587523.1		1443	1571	262	379	1166	2625	1071	2391	4442	575	544	553	3488	1825	1154	692	566	2518	1604	897	1547	1327	1140	1266	452	1267	1795	1593	296	0	0	0	0	0	0
ACZ81_RS00230	slmA	nucleoid occlusion factor SlmA	WP_012516568.1		1331	843	325	167	599	1354	837	1354	1441	322	246	205	964	923	544	381	357	998	755	1754	725	611	562	557	534	562	632	530	144	0	0	0	0	0	0
ACZ81_RS00235	coaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	WP_061438895.1		1856	1424	443	370	888	1880	1101	2519	3448	641	322	321	2397	1699	1108	615	510	1574	1339	1767	1151	864	1085	895	787	1024	1502	925	229	0	0	0	0	0	0
ACZ81_RS00240	radC	DNA repair protein RadC	WP_014947752.1		125	178	64	42	166	341	127	237	411	84	58	37	236	138	110	79	62	212	128	181	124	89	74	116	74	94	94	96	146	0	0	0	0	0	0
ACZ81_RS00245		hypothetical protein	WP_014947753.1		19805	15803	5668	3943	12726	31598	16931	22499	24949	9520	6155	6275	11866	17079	11949	9562	8192	16185	13923	28408	11891	9721	10991	11062	17050	14294	16649	12343	7867	0	0	0	2	0	0
ACZ81_RS00250		YjbF family lipoprotein	WP_014947754.1		166	284	123	94	407	547	235	1112	1174	140	64	115	828	343	212	132	120	514	443	186	366	245	163	127	63	235	351	160	0	0	0	0	0	0	0
ACZ81_RS00255		capsule biosynthesis GfcC family protein	WP_039236677.1		152	142	25	70	161	198	82	352	356	51	21	54	429	172	133	70	50	240	159	169	108	75	44	49	47	113	150	96	1	0	0	0	0	0	0
ACZ81_RS00260		YjbH domain-containing protein	WP_014977887.1		581	644	107	126	332	727	399	840	1067	166	129	223	1312	713	438	268	224	690	506	402	359	334	297	222	194	369	362	396	33	0	0	0	0	0	0
ACZ81_RS00265	rpmB	50S ribosomal protein L28	WP_014947757.1		3379	3482	2304	933	6402	8940	7631	18636	12969	1360	550	920	7089	8187	4965	3737	3033	8923	6416	16216	5143	4211	4707	3206	8514	5669	7081	3095	53080	0	0	0	0	0	0
ACZ81_RS00270	rpmG	50S ribosomal protein L33	WP_012516577.1		1705	1675	1188	331	2781	4470	3550	8635	6680	774	207	389	3506	3975	2365	1790	1472	4409	3472	8215	2568	2180	2251	1448	4060	3021	3288	1350	21148	0	0	0	0	0	0
ACZ81_RS00275		hypothetical protein	WP_039226967.1		528	587	478	131	366	719	452	877	1544	293	187	89	451	350	174	132	138	346	311	355	307	240	230	251	221	208	203	163	16	0	0	0	0	0	0
ACZ81_RS00280	mutM	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	WP_061438898.1		667	897	345	114	425	1000	370	1089	1558	250	240	202	767	327	210	156	102	401	432	255	290	260	259	239	162	316	323	263	27	0	0	0	0	0	0
ACZ81_RS00285	coaD	pantetheine-phosphate adenylyltransferase	WP_061438900.1		337	338	66	86	388	697	376	843	1190	144	64	91	580	451	277	194	130	438	342	264	356	160	231	308	107	286	327	232	78	0	0	0	0	0	0
ACZ81_RS00290		3-deoxy-D-manno-octulosonic acid kinase	WP_231506375.1		381	351	173	54	158	374	244	450	497	125	107	81	256	268	158	147	111	295	258	475	204	227	161	147	207	237	223	164	27	0	0	0	0	0	0
ACZ81_RS00295		hypothetical protein	WP_039226966.1		517	663	193	86	371	898	353	759	1182	243	159	105	302	337	220	149	116	345	234	300	281	227	165	200	123	205	216	181	217	0	0	0	2	0	0
ACZ81_RS00300		hypothetical protein	WP_061438903.1		834	1317	303	210	848	1774	747	1886	2574	365	304	208	784	774	494	285	222	744	600	631	682	527	338	537	335	522	508	516	0	0	0	0	0	0	0
ACZ81_RS00305		EAL domain-containing protein	WP_061438906.1		614	898	141	174	517	1499	662	1506	1801	319	269	150	685	757	435	393	277	655	583	800	561	502	433	471	334	389	475	411	0	0	0	0	0	0	0
ACZ81_RS00310		glycine C-acetyltransferase	WP_014977894.1		3586	4075	1318	688	3625	7341	3265	8256	14552	1553	1565	1269	15160	6242	4098	2778	2327	7330	4161	4258	3405	2951	3480	3119	1976	5282	4848	5911	490	0	0	0	0	1	0
ACZ81_RS00315	tdh	L-threonine 3-dehydrogenase	WP_014947766.1		2677	3026	753	850	2893	6948	3036	5053	12258	1154	1284	1251	13272	5124	3186	2016	1589	6356	3708	2041	2963	2607	2939	2720	1344	4075	4027	5290	308	0	0	0	0	0	3
ACZ81_RS00320	glpE	thiosulfate sulfurtransferase GlpE	WP_014947767.1		962	638	226	174	641	1725	999	1673	3053	348	357	331	2478	1350	846	496	429	1171	943	894	804	698	697	701	802	827	794	887	241	0	0	0	0	0	0
ACZ81_RS00325	glpG	rhomboid family intramembrane serine protease GlpG	WP_014977896.1		258	216	60	75	267	563	257	816	1133	95	70	86	814	361	276	140	102	633	334	266	232	191	210	152	99	287	325	343	0	0	0	0	0	0	0
ACZ81_RS00330	fliL	flagellar basal body-associated protein FliL	WP_014977897.1		1570	960	318	103	483	800	824	2465	1739	343	139	119	894	922	576	370	248	368	323	598	402	338	312	280	402	369	524	279	2	0	0	0	0	0	0
ACZ81_RS00335		chorismate lyase	WP_014975276.1		537	284	131	56	256	632	307	541	599	209	144	132	422	245	136	133	132	323	233	309	179	160	197	188	119	170	238	198	1	0	0	0	0	0	0
ACZ81_RS00340	ubiA	4-hydroxybenzoate octaprenyltransferase	WP_061438908.1		390	376	90	98	255	618	318	440	469	100	103	147	270	168	156	177	135	392	212	217	184	136	138	155	164	264	319	271	38	0	0	0	0	0	0
ACZ81_RS00345		accessory factor UbiK family protein	WP_014947772.1		167	166	71	67	72	171	207	498	227	33	24	69	149	382	188	143	162	185	127	426	105	92	124	105	387	220	267	149	684	0	0	0	0	0	0
ACZ81_RS00350	rep	DNA helicase Rep	WP_061438910.1		404	414	148	159	539	731	437	1192	1643	199	123	136	1683	716	480	269	209	764	621	766	492	361	480	366	366	509	584	446	630	0	0	1	0	0	0
ACZ81_RS00355		GGDEF domain-containing protein	WP_014977899.1		4638	4193	812	1044	3557	7804	3360	7255	10829	1821	1247	1466	6704	4854	3153	2084	1772	4692	3467	3820	3037	2590	2744	3044	1616	3584	4000	3332	1698	0	0	0	0	0	0
ACZ81_RS00360		c-type cytochrome	WP_014947775.1		927	785	352	140	703	1035	708	1666	955	289	163	187	1224	1013	595	604	437	1163	842	1839	711	527	550	363	801	476	662	477	3586	0	0	0	0	0	0
ACZ81_RS00370		HipA domain-containing protein	WP_061438912.1		203	174	50	48	45	257	99	297	422	50	42	30	274	143	106	45	50	93	119	119	96	98	55	67	54	73	59	71	87	0	0	0	0	0	0
ACZ81_RS00375		helix-turn-helix domain-containing protein	WP_061438914.1		44	47	22	0	9	28	13	18	22	4	12	0	36	24	7	2	2	10	12	22	15	16	2	6	13	11	3	13	8	0	0	0	0	0	0
ACZ81_RS00380	nhaC	Na+/H+ antiporter NhaC	WP_061438916.1		121	161	13	22	103	267	117	281	429	52	49	29	179	135	87	47	51	94	102	109	59	83	73	75	50	65	154	159	28	0	0	0	0	0	0
ACZ81_RS00385		BCCT family transporter	WP_061438918.1		295	239	45	43	136	252	149	276	291	92	34	96	138	133	86	96	42	181	126	194	147	124	101	94	116	86	123	115	36	0	0	0	0	0	0
ACZ81_RS00390		hypothetical protein	WP_061438920.1		111	129	15	24	95	182	110	221	254	36	19	36	192	115	104	47	31	138	99	164	105	71	51	83	62	78	106	60	24	0	0	0	0	0	0
ACZ81_RS00395		DUF2960 family protein	WP_061438921.1		93	80	8	0	90	159	66	165	262	29	24	19	129	75	50	46	18	87	72	76	68	40	43	50	81	75	53	35	412	0	0	0	0	0	0
ACZ81_RS00400		ATP-binding protein	WP_061438923.1		792	1101	312	293	777	2010	608	1833	3460	351	325	362	2618	1534	1082	455	339	1449	1177	810	1074	983	960	1056	196	877	1082	1187	0	0	0	0	0	0	0
ACZ81_RS00405		SIR2 family protein	WP_061438925.1		474	602	112	198	567	1141	449	1230	2145	203	177	194	1690	911	603	291	271	831	699	646	588	443	517	618	237	528	498	557	0	1	0	0	0	0	0
ACZ81_RS00420		DUF4124 domain-containing protein	WP_061438931.1		266	337	86	25	82	114	102	471	228	82	3	19	254	130	65	36	22	50	43	104	35	43	26	31	30	49	27	19	0	0	0	0	0	0	0
ACZ81_RS00425		class I SAM-dependent methyltransferase	WP_061438932.1		194	284	80	85	282	542	168	605	814	120	60	65	387	392	254	149	103	456	416	301	328	317	223	211	193	278	296	230	0	0	0	0	0	0	0
ACZ81_RS00430		TonB-dependent siderophore receptor	WP_061438933.1		1081	1551	689	136	359	672	1136	772	1193	280	250	230	3288	458	342	279	327	2459	1885	528	2566	2171	1414	1160	506	810	1078	873	79	0	0	0	0	0	0
ACZ81_RS00435		hypothetical protein	WP_039227006.1		2329	3500	686	1237	5543	11742	2401	9576	22199	1707	1535	2067	7567	7718	4539	2396	1938	6967	4875	1332	4634	3724	4592	5905	257	5123	5651	5928	0	0	0	0	0	0	0
ACZ81_RS00440		hypothetical protein	WP_039236707.1		2155	3266	364	1175	4954	12404	2213	9483	23030	1236	1372	2061	5836	7506	4423	2386	1966	7403	4846	2475	4940	4256	4692	6565	926	6081	6825	6882	0	0	0	0	0	0	0
ACZ81_RS00445		acyl-CoA dehydrogenase family protein	WP_061438935.1		1063	1061	758	101	214	599	323	1606	460	430	250	178	191	210	159	114	103	256	141	262	178	131	111	122	200	188	176	171	370	0	0	0	0	0	0
ACZ81_RS00450		LysR family transcriptional regulator	WP_061486886.1		266	330	118	73	146	283	145	387	360	110	64	55	243	159	111	78	66	118	86	154	88	74	70	72	78	92	80	86	2	0	0	0	0	0	0
ACZ81_RS00455		MBL fold metallo-hydrolase	WP_061486888.1		542	664	271	80	709	681	380	1728	1185	217	73	163	714	588	340	249	185	482	319	381	259	254	516	266	575	412	701	309	19	0	0	0	0	0	0
ACZ81_RS00460		YcjX family protein	WP_014947789.1		1094	1305	316	200	445	889	1219	888	1240	391	164	155	378	671	409	363	246	560	485	706	440	366	255	294	191	327	346	292	45	0	0	0	0	0	0
ACZ81_RS00465		DUF697 domain-containing protein	WP_061438938.1		636	745	110	128	266	442	741	521	613	135	85	102	208	234	222	273	209	374	330	331	328	287	213	271	180	203	202	269	42	0	0	0	0	0	0
ACZ81_RS00470		threonine/serine exporter family protein	WP_014947791.1		394	498	367	96	350	491	374	858	658	156	179	57	1219	345	280	210	139	368	244	401	256	174	136	148	222	227	268	133	2185	0	0	0	0	0	0
ACZ81_RS00475	thiH	2-iminoacetate synthase ThiH	WP_061438940.1		82	58	29	25	73	168	37	238	242	17	7	28	82	93	47	23	13	63	55	34	30	41	46	45	52	36	48	30	1	0	0	0	0	0	0
ACZ81_RS00480		thiazole synthase	WP_061438943.1		18	40	10	5	21	39	19	101	81	13	4	12	30	34	29	2	7	22	29	8	21	12	12	23	2	6	20	29	0	0	0	0	0	0	0
ACZ81_RS00485	thiS	sulfur carrier protein ThiS	WP_014947794.1		2	2	0	0	0	23	0	11	7	0	0	1	3	6	16	0	0	2	1	0	4	5	0	0	0	4	0	0	0	0	0	0	0	0	0
ACZ81_RS00490		HesA/MoeB/ThiF family protein	WP_061438944.1		7	42	11	7	8	61	23	92	76	13	3	12	28	40	60	12	14	12	13	3	15	16	0	15	4	12	15	12	0	0	0	0	0	0	0
ACZ81_RS00495	thiE	thiamine phosphate synthase	WP_061438946.1		94	198	35	48	71	216	62	536	278	35	40	50	128	270	139	42	38	73	59	25	89	50	41	47	20	22	64	45	0	0	0	0	0	0	0
ACZ81_RS00500	thiC	phosphomethylpyrimidine synthase ThiC	WP_061438948.1		325	499	113	71	347	884	181	1177	978	124	50	70	263	570	359	100	84	267	187	144	212	224	127	143	113	113	152	155	57	0	0	0	0	0	0
ACZ81_RS00505		heme biosynthesis protein	WP_061438950.1		2070	1756	411	383	823	2080	1524	2178	2773	779	491	437	2045	1863	1224	734	540	1910	1181	1652	1106	858	883	975	679	1122	1332	1042	335	0	0	0	0	0	0
ACZ81_RS00510		uroporphyrinogen-III C-methyltransferase	WP_061438952.1		3758	4395	1356	460	1786	3510	2494	4812	5743	1502	851	666	3894	3265	1922	955	751	2591	1858	1613	1809	1480	1549	1376	932	1646	2634	1774	65	0	0	0	0	0	0
ACZ81_RS00515		uroporphyrinogen-III synthase	WP_061438954.1		1366	1476	882	256	656	1674	1092	2133	2851	603	503	315	1733	1210	786	537	396	1257	1084	1178	951	700	657	710	569	727	749	827	680	0	0	0	0	0	0
ACZ81_RS00520	hemC	hydroxymethylbilane synthase	WP_014947801.1		1364	1665	530	397	1072	2568	852	2489	3848	844	561	550	2668	1347	847	425	294	1696	1188	404	900	794	740	778	176	857	1259	989	209	0	0	0	0	0	0
ACZ81_RS00525		GGDEF domain-containing protein	WP_049587575.1		1098	1426	501	155	317	937	453	1030	1390	436	244	77	243	349	224	173	102	289	294	258	239	193	180	225	163	200	173	199	0	0	0	0	0	0	0
ACZ81_RS00530		alpha/beta fold hydrolase	WP_014977932.1		448	454	150	86	382	791	332	1044	1471	206	120	134	1386	763	405	154	259	683	484	286	407	329	319	278	137	335	396	367	200	0	0	0	0	0	0
ACZ81_RS00535	gmk	guanylate kinase	WP_061438956.1		4065	2924	1248	620	2046	5374	2121	3943	4725	1800	903	1202	2125	1677	1060	984	806	1988	1731	2719	1369	1003	1369	1018	1373	1410	1663	1237	414	0	0	0	0	0	0
ACZ81_RS00540	rpoZ	DNA-directed RNA polymerase subunit omega	WP_014947805.1		2519	2925	1800	643	3956	5969	3842	10960	9967	1278	735	999	3957	4007	2608	2116	1358	4132	3244	5023	2791	2164	2673	2064	4359	2690	3766	1631	8814	0	0	0	0	0	0
ACZ81_RS00545	spoT	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	WP_039226917.1		4337	2796	737	456	1718	3215	2428	5769	4574	1010	429	636	4440	2465	1604	978	870	2444	1737	2190	1433	1372	1548	1463	1647	2307	3272	2138	2559	2	0	0	0	0	0
ACZ81_RS00550		RidA family protein	WP_014975316.1		356	525	259	81	555	1464	673	1204	2410	168	203	209	900	736	460	337	306	666	456	542	472	400	553	646	384	667	579	745	867	0	0	0	0	0	0
ACZ81_RS00555	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	WP_014975317.1		667	934	349	151	692	2129	932	1429	3905	277	367	437	1372	860	491	453	353	1274	900	985	715	666	936	908	575	1188	1156	1435	252	0	0	0	0	0	0
ACZ81_RS00560	recG	ATP-dependent DNA helicase RecG	WP_014975318.1		451	381	94	88	364	899	384	850	1247	82	102	181	1075	569	364	199	141	595	362	282	346	296	294	202	158	276	388	359	256	0	0	0	0	0	0
ACZ81_RS00565		class I SAM-dependent methyltransferase	WP_061438957.1		2063	2284	719	469	1061	1873	1242	2016	1815	752	411	281	852	1276	773	580	501	1064	805	1887	767	660	674	564	941	675	841	653	577	0	0	0	0	0	0
ACZ81_RS00570		peroxiredoxin	WP_014947810.1		3267	3097	736	284	1273	2927	1897	3281	2902	1045	493	375	1101	1666	1095	885	717	1402	1105	2161	1173	943	738	831	877	853	961	710	0	0	0	0	0	0	0
ACZ81_RS00575		hypothetical protein	WP_014947811.1		8925	7663	8057	1866	6250	15412	5427	5128	9166	4504	4718	2390	4356	2500	1458	1648	1298	2994	1988	1673	1879	1562	1514	1373	1338	1504	1905	1989	615	0	0	0	0	0	0
ACZ81_RS00580		extracellular solute-binding protein	WP_061438959.1		5234	5161	4381	1776	4972	11304	4015	4596	8262	2994	3069	2176	4720	2495	1457	1490	1255	3324	2043	1561	2125	1740	1473	1297	773	1592	2065	1521	109	0	0	0	0	0	0
ACZ81_RS00585		iron ABC transporter permease	WP_014975321.1		562	558	248	173	579	1341	467	1006	1058	262	256	281	722	292	233	155	169	543	345	408	362	268	246	255	274	326	369	257	381	0	0	0	0	0	0
ACZ81_RS00590		ABC transporter ATP-binding protein	WP_039226913.1		1194	1080	427	263	604	1494	670	1286	1715	367	294	356	1395	672	428	261	226	860	672	620	605	485	511	436	366	515	627	605	128	0	0	0	0	0	0
ACZ81_RS00595		NAD(P)/FAD-dependent oxidoreductase	WP_061438961.1		374	586	179	175	410	1046	467	842	1545	147	178	228	644	394	236	141	128	472	378	357	332	256	312	308	239	347	426	282	76	0	0	0	0	0	0
ACZ81_RS00600		LapA family protein	WP_061438963.1		13	21	18	0	3	32	31	51	76	8	10	12	50	57	31	39	17	21	23	35	30	25	6	12	23	13	11	18	0	0	0	0	0	0	0
ACZ81_RS00605		hypothetical protein	WP_061438965.1		36	25	19	20	63	72	167	287	413	47	4	14	277	176	124	118	112	62	106	108	42	34	13	31	25	16	13	8	0	0	0	0	0	0	0
ACZ81_RS00610		hypothetical protein	WP_061438967.1		233	221	160	75	287	325	471	989	1551	164	109	67	1569	743	465	305	169	381	496	395	313	215	210	162	42	88	98	135	0	0	0	0	0	0	0
ACZ81_RS00615		mechanosensitive ion channel	WP_061438970.1		236	183	84	81	128	251	151	287	394	56	33	69	522	162	130	114	83	136	146	140	86	123	96	72	95	95	112	70	0	0	0	0	0	0	0
ACZ81_RS00620		glucosaminidase domain-containing protein	WP_061438972.1		143	167	38	36	104	141	90	257	382	63	37	29	790	217	159	30	32	80	80	39	83	91	63	41	25	53	70	32	0	0	0	0	0	0	0
